depth	min	max	median	mean
1.5	4427	4684	4563	4560
2.5	4435	4691	4577	4573
3.5	4444	4703	4591	4587
4.5	4455	4718	4605	4601
5.5	4460	4737	4618	4615
6.5	4481	4753	4634	4629
7.5	4507	4759	4653	4644
8.5	4521	4768	4671	4658
9.5	4534	4776	4688	4673
10.5	4545	4786	4704	4688
11.5	4560	4795	4720	4702
12.5	4579	4799	4738	4715
13.5	4591	4804	4754	4728
14.5	4600	4811	4768	4741
15.5	4605	4826	4779	4754
16.5	4634	4841	4793	4772
17.5	4684	4857	4808	4794
18.5	4729	4887	4822	4816
19.5	4758	4923	4835	4838
20.5	4784	4967	4850	4860
21.5	4815	5008	4881	4893
22.5	4853	5045	4932	4938
23.5	4870	5091	4983	4983
24.5	4883	5154	5030	5027
25.5	4894	5224	5076	5072
26.5	4944	5267	5123	5119
27.5	5027	5282	5169	5167
28.5	5100	5305	5218	5214
29.5	5164	5347	5265	5262
30.5	5209	5412	5303	5310
31.5	5251	5452	5337	5348
32.5	5296	5462	5368	5376
33.5	5327	5477	5402	5403
34.5	5343	5500	5433	5431
35.5	5357	5538	5461	5458
36.5	5382	5565	5484	5483
37.5	5417	5573	5506	5505
38.5	5447	5589	5528	5527
39.5	5464	5615	5551	5549
40.5	5482	5651	5574	5571
41.5	5509	5679	5593	5593
42.5	5542	5697	5611	5614
43.5	5564	5724	5632	5635
44.5	5581	5767	5653	5656
45.5	5592	5813	5674	5677
46.5	5619	5842	5700	5703
47.5	5655	5852	5729	5732
48.5	5673	5861	5761	5762
49.5	5687	5877	5795	5792
50.5	5701	5903	5828	5821
51.5	5726	5927	5857	5848
52.5	5760	5938	5882	5871
53.5	5782	5959	5904	5895
54.5	5798	5990	5923	5918
55.5	5812	6033	5942	5942
56.5	5848	6062	5962	5964
57.5	5896	6076	5983	5986
58.5	5929	6095	6005	6007
59.5	5945	6118	6027	6029
60.5	5952	6149	6050	6050
61.5	5970	6172	6069	6071
62.5	5990	6182	6091	6091
63.5	6007	6194	6114	6111
64.5	6020	6212	6135	6130
65.5	6029	6242	6156	6150
66.5	6059	6263	6176	6172
67.5	6103	6269	6199	6195
68.5	6144	6278	6222	6219
69.5	6171	6292	6247	6243
70.5	6188	6314	6272	6266
71.5	6212	6335	6290	6285
72.5	6230	6346	6303	6300
73.5	6249	6361	6316	6314
74.5	6269	6381	6330	6328
75.5	6280	6407	6343	6343
76.5	6296	6427	6358	6358
77.5	6309	6442	6375	6373
78.5	6317	6465	6391	6389
79.5	6323	6493	6404	6404
80.5	6328	6529	6417	6419
81.5	6338	6556	6431	6435
82.5	6353	6569	6448	6451
83.5	6362	6587	6465	6467
84.5	6370	6608	6482	6483
85.5	6378	6632	6497	6499
86.5	6392	6654	6513	6515
87.5	6408	6670	6531	6531
88.5	6423	6690	6548	6548
89.5	6431	6709	6564	6564
90.5	6442	6731	6580	6580
91.5	6460	6748	6595	6596
92.5	6479	6762	6609	6612
93.5	6494	6776	6626	6628
94.5	6507	6792	6640	6644
95.5	6519	6808	6657	6659
96.5	6537	6827	6672	6675
97.5	6558	6838	6688	6692
98.5	6572	6852	6705	6709
99.5	6582	6875	6721	6725
